data,faturamento_total,custo,lucro,loja
7-12-2023,730.00,77.00,653.00,loja1
8-12-2023,230.00,132.00,98.00,loja1
9-12-2023,100.00,12.00,88.00,loja1
11-12-2023,870.00,165.00,705.00,loja1
12-12-2023,0.00,22.00,0.00,loja1
13-12-2023,710.00,22.00,688.00,loja1
14-12-2023,690.00,167.00,523.00,loja1
15-12-2023,1390.00,432.00,958.00,loja1
16-12-2023,630.00,172.00,458.00,loja1
18-12-2023,710.00,267.00,443.00,loja1
19-12-2023,410.00,87.00,323.00,loja1
20-12-2023,579.00,172.00,407.00,loja1
21-12-2023,600.00,162.00,438.00,loja1
22-12-2023,260.00,22.00,238.00,loja1
23-12-2023,250.00,87.00,163.00,loja1
24-12-2023,310.00,97.00,213.00,loja1
27-12-2023,640.00,47.00,593.00,loja1
28-12-2023,920.00,314.00,606.00,loja1
29-12-2023,550.00,147.00,403.00,loja1
30-12-2023,190.00,92.00,98.00,loja1
7-12-2023,230.00,20.00,210.00,loja2
8-12-2023,165.00,20.00,145.00,loja2
9-12-2023,450.00,30.00,420.00,loja2
11-12-2023,420.00,40.00,380.00,loja2
12-12-2023,365.00,70.00,295.00,loja2
13-12-2023,440.00,115.00,325.00,loja2
14-12-2023,295.00,40.00,255.00,loja2
15-12-2023,280.00,20.00,260.00,loja2
16-12-2023,290.00,10.00,280.00,loja2
18-12-2023,315.00,35.00,280.00,loja2
19-12-2023,280.00,117.00,163.00,loja2
20-12-2023,880.00,280.00,550.00,loja2
21-12-2023,560.00,135.00,425.00,loja2
22-12-2023,615.00,123.00,492.00,loja2
23-12-2023,422.00,76.00,346.00,loja2
24-12-2023,0.00,0.00,0.00,loja2
26-12-2023,515.00,28.00,477.00,loja2
27-12-2023,770.00,411.00,359.00,loja2
28-12-2023,550.00,53.00,497.00,loja2
29-12-2023,750.00,269.00,481.00,loja2
30-12-2023,420.00,25.00,395.00,loja2
7-12-2023,310.00,20.00,290.00,loja3
8-12-2023,280.00,20.00,260.00,loja3
9-12-2023,480.00,10.00,470.00,loja3
11-12-2023,316.00,20.00,296.00,loja3
12-12-2023,225.00,20.00,205.00,loja3
13-12-2023,170.00,20.00,150.00,loja3
14-12-2023,230.00,26.00,204.00,loja3
15-12-2023,320.00,75.00,245.00,loja3
16-12-2023,390.00,75.00,315.00,loja3
18-12-2023,300.00,20.00,280.00,loja3
19-12-2023,190.00,20.00,170.00,loja3
20-12-2023,450.00,40.00,410.00,loja3
21-12-2023,495.00,20.00,470.00,loja3
22-12-2023,460.00,25.00,435.00,loja3
23-12-2023,460.00,70.00,260.00,loja3
24-12-2023,0.00,0.00,0.00,loja3
26-12-2023,740.00,32.00,708.00,loja3
27-12-2023,210.00,20.00,190.00,loja3
28-12-2023,280.00,20.00,260.00,loja3
29-12-2023,370.00,25.00,355.00,loja3
30-12-2023,325.00,20.00,305.00,loja3
02-01-2024,960.00,372.00,588.00,loja1
03-01-2024,480.00,82.00,398.00,loja1
04-01-2024,1230.00,447.00,783.00,loja1
05-01-2024,330.00,82.00,248.00,loja1
06-01-2024,580.00,237.00,343.00,loja1
08-01-2024,820.00,327.00,493.00,loja1
09-01-2024,210.00,22.00,188.00,loja1
10-01-2024,250.00,22.00,228.00,loja1
11-01-2024,210.00,72.00,138.00,loja1
12-01-2024,440.00,155.00,285.00,loja1
13-01-2024,480.00,157.00,323.00,loja1
15-01-2024,1300.00,347.00,953.00,loja1
16-01-2024,70.00,22.00,48.00,loja1
17-01-2024,190.00,87.00,103.00,loja1
18-01-2024,160.00,22.00,138.00,loja1
19-01-2024,100.00,22.00,783.00,loja1
20-01-2024,700.00,262.00,438.00,loja1
22-01-2024,540.00,247.00,293.00,loja1
23-01-2024,880.00,207.00,673.00,loja1
24-01-2024,1200.00,522.00,678.00,loja1
25-01-2024,150.00,22.00,128.00,loja1
26-01-2024,750.00,257.00,493.00,loja1
27-01-2024,0.00,12.00,-12.00,loja1
29-01-2024,640.00,207.00,433.00,loja1
30-01-2024,1000.00,322.00,678.00,loja1
31-01-2024,230.00,42.00,188.00,loja1
